Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,22pF,C_0402_1005Metric,151.295625,-69.81825,0.0,bottom
C3,22pF,C_0402_1005Metric,147.63275,-72.247018,90.0,bottom
C4,1uF,C_0402_1005Metric,145.6655,-57.261018,90.0,bottom
C5,100nF,C_0402_1005Metric,149.95525,-55.06725,90.0,bottom
C6,100nF,C_0402_1005Metric,146.604234,-70.32903,270.0,bottom
C7,10uF,C_0402_1005Metric,143.589875,-48.707375,180.0,bottom
C8,1uF,C_0402_1005Metric,144.6495,-57.261018,90.0,bottom
C9,100nF,C_0402_1005Metric,141.95425,-60.03925,0.0,bottom
C10,100nF,C_0402_1005Metric,147.597984,-70.32903,270.0,bottom
C11,100nF,C_0402_1005Metric,141.12525,-66.420893,315.0,bottom
C12,100nF,C_0402_1005Metric,154.6825,-65.643018,225.0,bottom
C13,100nF,C_0402_1005Metric,148.43125,-55.06725,90.0,bottom
C14,100nF,C_0402_1005Metric,141.95425,-58.51525,0.0,bottom
C15,100nF,C_0402_1005Metric,153.6665,-59.801018,90.0,bottom
C16,1uF,C_0402_1005Metric,143.303625,-43.2435,180.0,bottom
C17,1uF,C_0402_1005Metric,143.589875,-49.723375,0.0,bottom
C18,100n,C_0402_1005Metric,152.896875,-45.64375,0.0,bottom
D1,D_Small,D_SOD-123F,55.912897,-42.133249,99.0,bottom
D2,D_Small,D_SOD-123F,79.432225,-45.858344,99.0,bottom
D3,D_Small,D_SOD-123F,98.247688,-48.838421,99.0,bottom
D4,D_Small,D_SOD-123F,117.063151,-51.818497,99.0,bottom
D5,D_Small,D_SOD-123F,135.878614,-54.798574,99.0,bottom
D6,D_Small,D_SOD-123F,167.651059,-53.505409,81.0,bottom
D7,D_Small,D_SOD-123F,186.466521,-50.525332,81.0,bottom
D8,D_Small,D_SOD-123F,205.281983,-47.545256,81.0,bottom
D9,D_Small,D_SOD-123F,224.097447,-44.565179,81.0,bottom
D10,D_Small,D_SOD-123F,247.616776,-40.840083,81.0,bottom
D11,D_Small,D_SOD-123F,50.580887,-60.576202,99.0,bottom
D12,D_Small,D_SOD-123F,71.748283,-63.928788,99.0,bottom
D13,D_Small,D_SOD-123F,90.563746,-66.908865,99.0,bottom
D14,D_Small,D_SOD-123F,109.379209,-69.888941,99.0,bottom
D15,D_Small,D_SOD-123F,128.194672,-72.869018,99.0,bottom
D16,D_Small,D_SOD-123F,175.335001,-71.575853,81.0,bottom
D17,D_Small,D_SOD-123F,194.150464,-68.595776,81.0,bottom
D18,D_Small,D_SOD-123F,212.965926,-65.6157,81.0,bottom
D19,D_Small,D_SOD-123F,231.969544,-62.605822,81.0,bottom
D20,D_Small,D_SOD-123F,253.13694,-59.253236,81.0,bottom
D21,D_Small,D_SOD-123F,45.248878,-79.019155,99.0,bottom
D22,D_Small,D_SOD-123F,64.064341,-81.999232,99.0,bottom
D23,D_Small,D_SOD-123F,82.879804,-84.979308,99.0,bottom
D24,D_Small,D_SOD-123F,101.695266,-87.959385,99.0,bottom
D25,D_Small,D_SOD-123F,120.510729,-90.939461,99.0,bottom
D26,D_Small,D_SOD-123F,183.018943,-89.646296,81.0,bottom
D27,D_Small,D_SOD-123F,201.834406,-86.66622,81.0,bottom
